#z	    M*	           upper	   lower

7.5	-19.98334	-19.91151	-20.05523
7.6	-19.961224	-19.885978	-20.03653
7.7	-19.939108	-19.860446	-20.01783
7.8	-19.916992	-19.834914	-19.99913
7.9	-19.894876	-19.809382	-19.98043
8	-19.87276	-19.78385	-19.96173
8.1	-19.850644	-19.758318	-19.94303
8.2	-19.828528	-19.732786	-19.92433
8.3	-19.806412	-19.707254	-19.90563
8.4	-19.784296	-19.681722	-19.88693
8.5	-19.76218	-19.65619	-19.86823
8.6	-19.740064	-19.630658	-19.84953
8.7	-19.717948	-19.605126	-19.83083
8.8	-19.695832	-19.579594	-19.81213
8.9	-19.673716	-19.554062	-19.79343
9	-19.6516	-19.52853	-19.77473
9.1	-19.629484	-19.502998	-19.75603
9.2	-19.607368	-19.477466	-19.73733
9.3	-19.585252	-19.451934	-19.71863
9.4	-19.563136	-19.426402	-19.69993
9.5	-19.54102	-19.40087	-19.68123
9.6	-19.518904	-19.375338	-19.66253
9.7	-19.496788	-19.349806	-19.64383
9.8	-19.474672	-19.324274	-19.62513
9.9	-19.452556	-19.298742	-19.60643
10	-19.43044	-19.27321	-19.58773
10.1	-19.408324	-19.247678	-19.56903
10.2	-19.386208	-19.222146	-19.55033
10.3	-19.364092	-19.196614	-19.53163
10.4	-19.341976	-19.171082	-19.51293
10.5	-19.31986	-19.14555	-19.49423
10.6	-19.297744	-19.120018	-19.47553
10.7	-19.275628	-19.094486	-19.45683
10.8	-19.253512	-19.068954	-19.43813
10.9	-19.231396	-19.043422	-19.41943
11	-19.20928	-19.01789	-19.40073
11.1	-19.187164	-18.992358	-19.38203
11.2	-19.165048	-18.966826	-19.36333
11.3	-19.142932	-18.941294	-19.34463
11.4	-19.120816	-18.915762	-19.32593
11.5	-19.0987	-18.89023	-19.30723
11.6	-19.076584	-18.864698	-19.28853
11.7	-19.054468	-18.839166	-19.26983
11.8	-19.032352	-18.813634	-19.25113
11.9	-19.010236	-18.788102	-19.23243
12	-18.98812	-18.76257	-19.21373
12.1	-18.966004	-18.737038	-19.19503
12.2	-18.943888	-18.711506	-19.17633
12.3	-18.921772	-18.685974	-19.15763
12.4	-18.899656	-18.660442	-19.13893
12.5	-18.87754	-18.63491	-19.12023
12.6	-18.855424	-18.609378	-19.10153
12.7	-18.833308	-18.583846	-19.08283
12.8	-18.811192	-18.558314	-19.06413
12.9	-18.789076	-18.532782	-19.04543
13	-18.76696	-18.50725	-19.02673
13.1	-18.744844	-18.481718	-19.00803
13.2	-18.722728	-18.456186	-18.98933
13.3	-18.700612	-18.430654	-18.97063
13.4	-18.678496	-18.405122	-18.95193
13.5	-18.65638	-18.37959	-18.93323
13.6	-18.634264	-18.354058	-18.91453
13.7	-18.612148	-18.328526	-18.89583
13.8	-18.590032	-18.302994	-18.87713
13.9	-18.567916	-18.277462	-18.85843
14	-18.5458	-18.25193	-18.83973
14.1	-18.523684	-18.226398	-18.82103
14.2	-18.501568	-18.200866	-18.80233
14.3	-18.479452	-18.175334	-18.78363
14.4	-18.457336	-18.149802	-18.76493
14.5	-18.43522	-18.12427	-18.74623
14.6	-18.413104	-18.098738	-18.72753
14.7	-18.390988	-18.073206	-18.70883
14.8	-18.368872	-18.047674	-18.69013
14.9	-18.346756	-18.022142	-18.67143
15	-18.32464	-17.99661	-18.65273
15.1	-18.302524	-17.971078	-18.63403
15.2	-18.280408	-17.945546	-18.61533
15.3	-18.258292	-17.920014	-18.59663
15.4	-18.236176	-17.894482	-18.57793
15.5	-18.21406	-17.86895	-18.55923
15.6	-18.191944	-17.843418	-18.54053
15.7	-18.169828	-17.817886	-18.52183
15.8	-18.147712	-17.792354	-18.50313
15.9	-18.125596	-17.766822	-18.48443
16	-18.10348	-17.74129	-18.46573
16.1	-18.081364	-17.715758	-18.44703
16.2	-18.059248	-17.690226	-18.42833
16.3	-18.037132	-17.664694	-18.40963
16.4	-18.015016	-17.639162	-18.39093
16.5	-17.9929	-17.61363	-18.37223
16.6	-17.970784	-17.588098	-18.35353
16.7	-17.948668	-17.562566	-18.33483
16.8	-17.926552	-17.537034	-18.31613
16.9	-17.904436	-17.511502	-18.29743
17	-17.88232	-17.48597	-18.27873
17.1	-17.860204	-17.460438	-18.26003
17.2	-17.838088	-17.434906	-18.24133
17.3	-17.815972	-17.409374	-18.22263
17.4	-17.793856	-17.383842	-18.20393
17.5	-17.77174	-17.35831	-18.18523
17.6	-17.749624	-17.332778	-18.16653
17.7	-17.727508	-17.307246	-18.14783
17.8	-17.705392	-17.281714	-18.12913
17.9	-17.683276	-17.256182	-18.11043
18	-17.66116	-17.23065	-18.09173
